Rank,Song,Artist(s),Album,GYD_PLAYLIST_NAME,GYD_TIMESTAMP
51,Something in the Orange,Zach Bryan,Something in the Orange - Single,top-100-usa,2023-02-12 15:23:28.025519
52,In Ha Mood,Ice Spice,In Ha Mood - Single,top-100-usa,2023-02-12 15:23:28.025519
53,I Hate U,SZA,I Hate U - Single,top-100-usa,2023-02-12 15:23:28.025519
54,Chasin' You,Morgan Wallen,If I Know Me,top-100-usa,2023-02-12 15:23:28.025519
55,AMG,Natanael Cano,AMG - Single,top-100-usa,2023-02-12 15:23:28.025519
55,AMG,Peso Pluma,AMG - Single,top-100-usa,2023-02-12 15:23:28.025519
55,AMG,Gabito Ballesteros,AMG - Single,top-100-usa,2023-02-12 15:23:28.025519
56,Growin' Up and Gettin' Old,Luke Combs,Gettin' Old,top-100-usa,2023-02-12 15:23:28.025519
57,Players,Coi Leray,Players - Single,top-100-usa,2023-02-12 15:23:28.025519
58,Escapism.,RAYE,Escapism. / The Thrill Is Gone. - Single,top-100-usa,2023-02-12 15:23:28.025519
58,Escapism.,070 Shake,Escapism. / The Thrill Is Gone. - Single,top-100-usa,2023-02-12 15:23:28.025519
59,Moscow Mule,Bad Bunny,Un Verano Sin Ti,top-100-usa,2023-02-12 15:23:28.025519
60,ALL MINE,Brent Faiyaz,WASTELAND,top-100-usa,2023-02-12 15:23:28.025519
61,golden hour,JVKE,this is what ____ feels like (Vol. 1-4),top-100-usa,2023-02-12 15:23:28.025519
62,Ghost in the Machine (feat. Phoebe Bridgers),SZA,SOS,top-100-usa,2023-02-12 15:23:28.025519
63,PRC,Peso Pluma,PRC - Single,top-100-usa,2023-02-12 15:23:28.025519
63,PRC,Natanael Cano,PRC - Single,top-100-usa,2023-02-12 15:23:28.025519
64,Wants and Needs (feat. Lil Baby),Drake,Scary Hours 2,top-100-usa,2023-02-12 15:23:28.025519
65,Open Arms (feat. Travis Scott),SZA,SOS,top-100-usa,2023-02-12 15:23:28.025519
66,Low Down,Lil Baby,My Turn (Deluxe),top-100-usa,2023-02-12 15:23:28.025519
67,Knife Talk (feat. 21 Savage & Project Pat),Drake,Certified Lover Boy,top-100-usa,2023-02-12 15:23:28.025519
68,Drankin N Smokin,Future,Pluto x Baby Pluto,top-100-usa,2023-02-12 15:23:28.025519
68,Drankin N Smokin,Lil Uzi Vert,Pluto x Baby Pluto,top-100-usa,2023-02-12 15:23:28.025519
69,Seek & Destroy,SZA,SOS,top-100-usa,2023-02-12 15:23:28.025519
70,Life Is Good (feat. Drake),Future,Life Is Good (feat. Drake) - Single,top-100-usa,2023-02-12 15:23:28.025519
71,Nonstop,Drake,Scorpion,top-100-usa,2023-02-12 15:23:28.025519
72,Rock and A Hard Place,Bailey Zimmerman,Leave The Light On - EP (Apple Music Up Next Film Edition),top-100-usa,2023-02-12 15:23:28.025519
73,No Role Modelz,J. Cole,2014 Forest Hills Drive,top-100-usa,2023-02-12 15:23:28.025519
